design,specimen,temperature_C,curvature_per_mm,pitch_mm,turns,blocking_force_mN
Baseline,1,25,0.0,3.2259076065476786,0.16573735243548665,0.0
Baseline,1,30,0.0,3.183725084230894,0.10450449882116798,0.0
Baseline,1,35,0.00042311051600062085,3.182541650536719,0.20901942136283105,0.0
Baseline,1,40,0.005860333572232167,3.217819072639426,0.1449541902207862,0.0
Baseline,1,45,0.003892230352106224,3.1763839478440263,0.20674207762206182,1.1465302745164458
Baseline,1,50,0.00917685797059286,3.2324205358701783,0.29271893609483446,0.0
Baseline,1,55,0.0187180952806785,3.182723872189921,0.2769791408089083,1.984191072325932
Baseline,1,60,0.017702569590158625,3.1851006444207077,0.24190029016896097,0.6888073086377373
Baseline,1,65,0.028783750800154728,3.186666422947891,0.37099159610173654,0.6761337489215904
Baseline,1,70,0.04703382985003421,3.1830757408860513,0.5822602302675485,1.3245486306160403
Baseline,1,75,0.09750654869496851,3.1604502840119633,0.8846576447767156,3.1752094903819645
Baseline,1,80,0.16893913001052197,3.1138634290842524,1.430060655549702,7.656210858603612
Baseline,1,85,0.2841959896157553,3.067224666948046,2.3632156157068236,10.692865873432195
Baseline,1,90,0.41399921748822405,3.0499379805670137,3.526687493876355,15.85309626706542
Baseline,1,95,0.5360849244958135,2.9683232053920374,4.516156273173776,19.714581944236542
Baseline,1,100,0.6397662208481155,2.9127097276757175,5.194155141597667,25.42976242847897
Baseline,1,105,0.704616842685998,2.8967471197218684,5.620961716528994,26.757091477392834
Baseline,1,110,0.7305303000568177,2.9104241769290073,5.953173225538985,28.785995029139855
Baseline,1,115,0.7594275271209108,2.8826977980232202,6.0082787922635035,28.590964231917322
Baseline,1,120,0.7636104285972162,2.8911625145266275,6.219983052447866,28.166971388261224
Baseline,1,125,0.7623268205484177,2.920164496284017,6.35120358318077,29.03178944504599
Baseline,1,130,0.7707952753040865,2.9048040043624264,6.195362996487377,29.078219549969955
Baseline,1,135,0.7653923569008652,2.87524372979258,6.286784747112398,30.044201463034245
Baseline,1,140,0.7731450270850422,2.926822385687715,6.173138276482139,30.014749720482396
Baseline,2,25,0.0008850264779068483,3.221291178279323,0.3308257893825082,0.0
Baseline,2,30,0.0,3.2094882809361494,0.13952452325274028,0.7702023176738307
Baseline,2,35,0.013805837415612105,3.239002916598641,0.30177114227922536,1.6668170517504481
Baseline,2,40,0.0,3.2349909947508975,0.16936605555685474,0.0
Baseline,2,45,0.0,3.226094592683994,0.19607156136582246,1.4542319732704359
Baseline,2,50,0.0036681396955507385,3.233431920256756,0.21022445911779425,0.4770548334116488
Baseline,2,55,0.0015904604220237867,3.277248472539013,0.2985510876559747,0.0
Baseline,2,60,0.02569681957893809,3.1962683857038017,0.3105416827694456,0.0
Baseline,2,65,0.02473320669719768,3.175660056754795,0.33178454003917324,1.987276367898248
Baseline,2,70,0.04560832970404623,3.148712296185403,0.5503253331773609,2.164060421989663
Baseline,2,75,0.09198945192482343,3.174213095446515,1.056635200462851,3.3395874926521385
Baseline,2,80,0.17630975468694515,3.123566737089205,1.7475592317561797,7.257457718976113
Baseline,2,85,0.29721185135030387,3.0758633422661084,2.4724385252692316,12.417866563252922
Baseline,2,90,0.42883253315387204,3.00447526674997,3.735054802693866,17.107299993118524
Baseline,2,95,0.5347034584020919,2.9397406216440873,4.607848623323015,21.65920358384165
Baseline,2,100,0.6423230487302489,2.9306554639964832,5.34666538127759,26.968000091527394
Baseline,2,105,0.6917931582736876,2.9149792713256892,5.782971344857364,28.876237995200015
Baseline,2,110,0.7292290821257603,2.9214433946904506,5.944581897067708,28.82009324120414
Baseline,2,115,0.7401890421975995,2.898076331047307,6.035862260621326,30.399064341424417
Baseline,2,120,0.753899633869252,2.8319964750693543,6.222980151617568,30.129001329377058
Baseline,2,125,0.7607432614496837,2.9189997692008793,6.241251462038193,31.71824679748295
Baseline,2,130,0.7493301829867391,2.837702775336446,6.2239771228094956,31.372437381477745
Baseline,2,135,0.7635008154893251,2.85260197779558,6.24096925784882,30.343081349398634
Baseline,2,140,0.7590525728910371,2.8668699056604385,6.212804981344221,31.062051823231513
Baseline,3,25,0.0,3.1938721263060197,0.22736642734186657,0.5735375910464948
Baseline,3,30,0.002506237277911623,3.2050637698546383,0.1413919344944381,0.0
Baseline,3,35,0.0,3.174753787005654,0.13144545251488912,0.9442128114294432
Baseline,3,40,0.005579455669719315,3.212803443617055,0.23429733802944686,0.0
Baseline,3,45,0.009295852903317876,3.184086695985777,0.1565487631317527,0.0
Baseline,3,50,0.0005881465745456822,3.1514379189598403,0.09975013851750855,1.4195182592591316
Baseline,3,55,0.01274804929191373,3.1811852221173242,0.22628636035934757,2.017130411649301
Baseline,3,60,0.009134154144089572,3.1905909943079087,0.36220717063164554,0.0
Baseline,3,65,0.03040320921397031,3.169941394839088,0.3378956263424167,0.3796886131531688
Baseline,3,70,0.04728529314119179,3.187253758947854,0.6654872055895543,2.6827172627934033
Baseline,3,75,0.09300952288152037,3.17895794432992,0.9059161545213752,4.8964440670895595
Baseline,3,80,0.17566400128072204,3.1358198009830693,1.68948893474818,7.983428059794946
Baseline,3,85,0.29787755158023177,3.088061261865332,2.46659407294728,11.619477133327463
Baseline,3,90,0.4381024746047102,3.0444600927639947,3.5300381182276834,15.150701462672476
Baseline,3,95,0.5547220293595085,2.9881952940318435,4.529964742014436,21.036285668135857
Baseline,3,100,0.637141249589446,2.967886222573366,5.299164727682151,24.182668815339653
Baseline,3,105,0.6984595493525969,2.943546784403296,5.631946919746532,27.089937406518764
Baseline,3,110,0.7211723227105775,2.8894744804122947,6.0337544702100505,27.968699402256988
Baseline,3,115,0.7423613925147858,2.874709704016726,6.0279468376173675,27.36558577639086
Baseline,3,120,0.7321127227679418,2.887089160108432,6.151817283409525,28.685574942123377
Baseline,3,125,0.7667893401358226,2.9054349388774696,6.155993532239849,28.661310386461643
Baseline,3,130,0.7534885964757047,2.844009341046203,6.21956356037883,28.579845301590137
Baseline,3,135,0.7659315400170872,2.8969439456032755,6.270689337848511,29.449588200325834
Baseline,3,140,0.7571240674373962,2.8874780759484806,6.240088033547959,30.388399820239265
Baseline,4,25,0.0025538459894641177,3.182877070712043,0.2858286980035695,0.6797277716952804
Baseline,4,30,0.00223254484586383,3.19768099241295,0.11015525687802223,0.9090232730866137
Baseline,4,35,0.003925906975152337,3.1856379120010705,0.06791817654029808,1.220939932348426
Baseline,4,40,0.011053272091115751,3.183518394208382,0.19699167729210298,0.0
Baseline,4,45,0.0,3.191915987839566,0.23129056714048424,0.0
Baseline,4,50,0.0,3.188465523580661,0.3410537843730746,0.1851232787107856
Baseline,4,55,0.004207390344570799,3.2355571465586968,0.09642776142592682,0.8534392563166646
Baseline,4,60,0.011225302331923816,3.189854478918492,0.3697153181075793,0.0
Baseline,4,65,0.013719033048367755,3.1503496500639923,0.23784996054308588,2.022189084124613
Baseline,4,70,0.03770912793471759,3.1643300587352394,0.5267277287280229,1.7945054149326531
Baseline,4,75,0.08798571813479332,3.19587427161615,0.8356043578577859,4.0450259102717
Baseline,4,80,0.15574161329278166,3.1084965167967487,1.418552229530648,7.128888826829787
Baseline,4,85,0.25818584375316844,3.0897810158279646,2.2740092535987877,12.02045615307551
Baseline,4,90,0.3953752035747788,3.0558288730825853,3.4098366590430507,16.51132898282777
