parameter,level,seed,HV
ensemble_size,1.0,1,0.8929571627526566
ensemble_size,1.0,2,0.8840344388678606
ensemble_size,1.0,3,0.8892406898639234
ensemble_size,1.0,4,0.884423989076488
ensemble_size,1.0,5,0.8847950100415157
ensemble_size,1.0,6,0.8894108045581579
ensemble_size,1.0,7,0.8864949310040702
ensemble_size,1.0,8,0.8806623460618364
ensemble_size,1.0,9,0.88697144829349
ensemble_size,1.0,10,0.8877372729307685
ensemble_size,1.0,11,0.8912519815002721
ensemble_size,1.0,12,0.8835387255358161
ensemble_size,1.0,13,0.8783962716733712
ensemble_size,1.0,14,0.8858565772942381
ensemble_size,1.0,15,0.891397922413501
ensemble_size,3.0,1,0.9110972610049874
ensemble_size,3.0,2,0.9080109999531866
ensemble_size,3.0,3,0.9097133856878941
ensemble_size,3.0,4,0.9066239615299307
ensemble_size,3.0,5,0.9146878382980681
ensemble_size,3.0,6,0.9031616074408796
ensemble_size,3.0,7,0.9097926399793107
ensemble_size,3.0,8,0.9069909174035552
ensemble_size,3.0,9,0.9091097426273921
ensemble_size,3.0,10,0.9092470693243472
ensemble_size,3.0,11,0.9020154431992845
ensemble_size,3.0,12,0.9014250691686001
ensemble_size,3.0,13,0.9083528100235171
ensemble_size,3.0,14,0.9012235422999345
ensemble_size,3.0,15,0.907561455196788
ensemble_size,5.0,1,0.9169621203767127
ensemble_size,5.0,2,0.9189864468362025
ensemble_size,5.0,3,0.9158174523320644
ensemble_size,5.0,4,0.9022819920819594
ensemble_size,5.0,5,0.9197723420263749
ensemble_size,5.0,6,0.9125614521617695
ensemble_size,5.0,7,0.9129140229627498
ensemble_size,5.0,8,0.9131725588602876
ensemble_size,5.0,9,0.9112082030188292
ensemble_size,5.0,10,0.9103278079851772
ensemble_size,5.0,11,0.913870443316663
ensemble_size,5.0,12,0.9156500242535127
ensemble_size,5.0,13,0.9198698594337444
ensemble_size,5.0,14,0.9132161025664514
ensemble_size,5.0,15,0.9203764493454231
ensemble_size,7.0,1,0.9086115637317532
ensemble_size,7.0,2,0.9045906116405394
ensemble_size,7.0,3,0.9113608262566869
ensemble_size,7.0,4,0.9027918259571509
ensemble_size,7.0,5,0.9114501431204596
ensemble_size,7.0,6,0.9098554689612277
ensemble_size,7.0,7,0.9185028685028543
ensemble_size,7.0,8,0.9108484007823552
ensemble_size,7.0,9,0.908477175853835
ensemble_size,7.0,10,0.9113673673514309
ensemble_size,7.0,11,0.906361549234
ensemble_size,7.0,12,0.9077698229797608
ensemble_size,7.0,13,0.9060667070383516
ensemble_size,7.0,14,0.9016376417159188
ensemble_size,7.0,15,0.9066240527770931
ensemble_size,9.0,1,0.8845263147051601
ensemble_size,9.0,2,0.8894066464295712
ensemble_size,9.0,3,0.8894640943558165
ensemble_size,9.0,4,0.8886640751692724
ensemble_size,9.0,5,0.8753792238317416
ensemble_size,9.0,6,0.8834727602022318
ensemble_size,9.0,7,0.8889284558214979
ensemble_size,9.0,8,0.8820933136824454
ensemble_size,9.0,9,0.8867528098773942
ensemble_size,9.0,10,0.8749156066424606
ensemble_size,9.0,11,0.8852634849505818
ensemble_size,9.0,12,0.8866949182853718
ensemble_size,9.0,13,0.8843804545853783
ensemble_size,9.0,14,0.8877543283287987
ensemble_size,9.0,15,0.8856267553958499
EWC_lambda,0.0,1,0.880244159254404
EWC_lambda,0.0,2,0.885153786585807
EWC_lambda,0.0,3,0.8923162371670182
EWC_lambda,0.0,4,0.8766035318412916
EWC_lambda,0.0,5,0.8861234114380909
EWC_lambda,0.0,6,0.8829062493235313
EWC_lambda,0.0,7,0.8855729131495008
EWC_lambda,0.0,8,0.8870547821964346
EWC_lambda,0.0,9,0.8795486319117481
EWC_lambda,0.0,10,0.8810811377339379
EWC_lambda,0.0,11,0.8757646194358066
EWC_lambda,0.0,12,0.8874095144693133
EWC_lambda,0.0,13,0.8873157599386929
EWC_lambda,0.0,14,0.8838457521829688
EWC_lambda,0.0,15,0.8792470992148652
EWC_lambda,100.0,1,0.9096240708391651
EWC_lambda,100.0,2,0.9088510054266475
EWC_lambda,100.0,3,0.8979932082654826
EWC_lambda,100.0,4,0.9009787800169451
EWC_lambda,100.0,5,0.9158767000376816
EWC_lambda,100.0,6,0.9018741296944517
EWC_lambda,100.0,7,0.9067021357774676
EWC_lambda,100.0,8,0.9069211945144915
EWC_lambda,100.0,9,0.9086039145769168
EWC_lambda,100.0,10,0.9074316356451299
EWC_lambda,100.0,11,0.9138363104114713
EWC_lambda,100.0,12,0.9088748861531277
EWC_lambda,100.0,13,0.9023719702269076
EWC_lambda,100.0,14,0.9091366254270464
EWC_lambda,100.0,15,0.9071382276287578
EWC_lambda,500.0,1,0.9114153621422797
EWC_lambda,500.0,2,0.9100113626101011
EWC_lambda,500.0,3,0.9073396149466159
EWC_lambda,500.0,4,0.9216251765279563
EWC_lambda,500.0,5,0.9103834932590523
EWC_lambda,500.0,6,0.9053818103834799
EWC_lambda,500.0,7,0.9117492429185342
EWC_lambda,500.0,8,0.9131828516607523
EWC_lambda,500.0,9,0.9148786638981092
EWC_lambda,500.0,10,0.9186405582288206
EWC_lambda,500.0,11,0.917800584954254
EWC_lambda,500.0,12,0.9147769197489071
EWC_lambda,500.0,13,0.9090765197005299
EWC_lambda,500.0,14,0.9076282889199861
EWC_lambda,500.0,15,0.9138201119204339
EWC_lambda,1000.0,1,0.9127652322654863
EWC_lambda,1000.0,2,0.9156778777463477
EWC_lambda,1000.0,3,0.9102007147832679
EWC_lambda,1000.0,4,0.913641138028041
EWC_lambda,1000.0,5,0.9178378730843442
EWC_lambda,1000.0,6,0.9184515838795423
EWC_lambda,1000.0,7,0.9108999740074097
EWC_lambda,1000.0,8,0.9145448779862315
EWC_lambda,1000.0,9,0.9153634031272545
EWC_lambda,1000.0,10,0.9120092402646476
EWC_lambda,1000.0,11,0.912839535392377
EWC_lambda,1000.0,12,0.9128930701307341
EWC_lambda,1000.0,13,0.9148889094220256
EWC_lambda,1000.0,14,0.9143307990230899
EWC_lambda,1000.0,15,0.9124872543346891
EWC_lambda,3000.0,1,0.9077991388393715
EWC_lambda,3000.0,2,0.9192530172147377
EWC_lambda,3000.0,3,0.9060831777165146
EWC_lambda,3000.0,4,0.9138819034912922
EWC_lambda,3000.0,5,0.9077175255697733
EWC_lambda,3000.0,6,0.9081521027492597
EWC_lambda,3000.0,7,0.9077453624844771
EWC_lambda,3000.0,8,0.9057349356405384
EWC_lambda,3000.0,9,0.9038776017868779
EWC_lambda,3000.0,10,0.9090005127848277
EWC_lambda,3000.0,11,0.9050226841619665
EWC_lambda,3000.0,12,0.9138684572805086
EWC_lambda,3000.0,13,0.9139289249666515
EWC_lambda,3000.0,14,0.9115837274403872
EWC_lambda,3000.0,15,0.9119737410718122
upgrades_per_generation,1.0,1,0.8933533488106187
upgrades_per_generation,1.0,2,0.8900641486759856
upgrades_per_generation,1.0,3,0.8873745379720227
upgrades_per_generation,1.0,4,0.8901573839713603
upgrades_per_generation,1.0,5,0.8918152268395034
upgrades_per_generation,1.0,6,0.8921283453280207
upgrades_per_generation,1.0,7,0.8847512141587346
upgrades_per_generation,1.0,8,0.8902734725098042
upgrades_per_generation,1.0,9,0.887069317823489
upgrades_per_generation,1.0,10,0.8931219340980465
upgrades_per_generation,1.0,11,0.8893083013709168
upgrades_per_generation,1.0,12,0.8915271281575788
upgrades_per_generation,1.0,13,0.8861834958357893
upgrades_per_generation,1.0,14,0.8936659724704727
upgrades_per_generation,1.0,15,0.8946893908819973
upgrades_per_generation,3.0,1,0.9016685209734322
upgrades_per_generation,3.0,2,0.9150451381005889
upgrades_per_generation,3.0,3,0.9136178496972391
upgrades_per_generation,3.0,4,0.910458452837594
upgrades_per_generation,3.0,5,0.9119896589507639
upgrades_per_generation,3.0,6,0.9103428674197128
upgrades_per_generation,3.0,7,0.9053027383794335
upgrades_per_generation,3.0,8,0.914405282772089
upgrades_per_generation,3.0,9,0.9151721545615887
upgrades_per_generation,3.0,10,0.9146479524063977
upgrades_per_generation,3.0,11,0.906321790299977
upgrades_per_generation,3.0,12,0.9168344161628228
upgrades_per_generation,3.0,13,0.9043046553319743
upgrades_per_generation,3.0,14,0.9089613052759188
upgrades_per_generation,3.0,15,0.9042010585734395
upgrades_per_generation,5.0,1,0.9223342984998391
upgrades_per_generation,5.0,2,0.9184168605535831
upgrades_per_generation,5.0,3,0.909021242291141
upgrades_per_generation,5.0,4,0.9163238716382454
upgrades_per_generation,5.0,5,0.9080517297974703
upgrades_per_generation,5.0,6,0.9198234238761793
upgrades_per_generation,5.0,7,0.9138100269537385
upgrades_per_generation,5.0,8,0.9093667557248744
upgrades_per_generation,5.0,9,0.9120688946882072
upgrades_per_generation,5.0,10,0.9129513133567203
upgrades_per_generation,5.0,11,0.908850808063393
upgrades_per_generation,5.0,12,0.913908215103138
upgrades_per_generation,5.0,13,0.921048995713939
upgrades_per_generation,5.0,14,0.9238771171293914
upgrades_per_generation,5.0,15,0.9214959995028656
upgrades_per_generation,7.0,1,0.9078995529630138
upgrades_per_generation,7.0,2,0.9106974163205629
upgrades_per_generation,7.0,3,0.9057893221955184
upgrades_per_generation,7.0,4,0.9126180867454723
upgrades_per_generation,7.0,5,0.915320902294731
upgrades_per_generation,7.0,6,0.9132181680546402
upgrades_per_generation,7.0,7,0.9078335253174146
upgrades_per_generation,7.0,8,0.9036107409820736
upgrades_per_generation,7.0,9,0.9116231297960552
upgrades_per_generation,7.0,10,0.9090399829149771
upgrades_per_generation,7.0,11,0.9106280631631297
upgrades_per_generation,7.0,12,0.9058546063147993
upgrades_per_generation,7.0,13,0.912969840794095
upgrades_per_generation,7.0,14,0.9042626378895654
upgrades_per_generation,7.0,15,0.9051928466518365
upgrades_per_generation,9.0,1,0.8899269881324616
upgrades_per_generation,9.0,2,0.8895036883594504
upgrades_per_generation,9.0,3,0.8937267516176716
upgrades_per_generation,9.0,4,0.8840784358833823
upgrades_per_generation,9.0,5,0.8928778796585365
upgrades_per_generation,9.0,6,0.8969031365514106
upgrades_per_generation,9.0,7,0.9008121250311001
upgrades_per_generation,9.0,8,0.8967078272214295
upgrades_per_generation,9.0,9,0.8960420461786771
upgrades_per_generation,9.0,10,0.8978973095020983
upgrades_per_generation,9.0,11,0.8900354264741187
upgrades_per_generation,9.0,12,0.8985268645037079
upgrades_per_generation,9.0,13,0.8961464572486839
upgrades_per_generation,9.0,14,0.8922330569612748
upgrades_per_generation,9.0,15,0.8906213997545321
phase_weight,0.0,1,0.9070211571041332
phase_weight,0.0,2,0.9085080246333799
phase_weight,0.0,3,0.9128648245586954
phase_weight,0.0,4,0.9095135312260565
phase_weight,0.0,5,0.9047499719373305
phase_weight,0.0,6,0.8994591760085489
phase_weight,0.0,7,0.9080770470095336
phase_weight,0.0,8,0.9029263506278239
phase_weight,0.0,9,0.9024390389227674
phase_weight,0.0,10,0.9041129116238673
phase_weight,0.0,11,0.9002292375968941
phase_weight,0.0,12,0.9055382986380783
phase_weight,0.0,13,0.9005673956251321
phase_weight,0.0,14,0.9086649697160837
phase_weight,0.0,15,0.9104803113036388
phase_weight,0.15,1,0.9147145779800396
phase_weight,0.15,2,0.9187828044814572
phase_weight,0.15,3,0.9205978962277
phase_weight,0.15,4,0.9098018028569067
phase_weight,0.15,5,0.9086524632699285
