seed,algorithm,HV,IGD_plus,epsilon_indicator,spacing,HF_calls_to_90pct_oracle_HV,wall_time_h,feasible_fraction,failed_evaluation_fraction,HF_budget
1,MF-BCL-SAEA,0.9193816676707053,0.0010769722280881855,0.01258213989714541,0.009042527659902353,101,14.89267414342989,0.9429729455101851,0.028492613936590874,200
1,MF-EMTO,0.8807483143954242,0.008634711766458832,0.01769120184437485,0.012389690405967787,142,18.16512013291088,0.9039827201187196,0.04108754180710124,200
1,qNEHVI,0.8854365082045634,0.005350416860346945,0.01755152069660879,0.013155054780625106,154,18.073508755093965,0.8946872222177675,0.057011505796454115,200
1,LC-SAEA,0.881775077835264,0.0029830241406562062,0.017995120502071662,0.012367038433840252,187,18.116602755220796,0.8785362582387368,0.06468777771907422,200
1,C-SAEA,0.8589724792850736,0.010099039095632836,0.02476301867708144,0.015902788405907597,199,17.487341583580676,0.8872492852171385,0.05935237523108036,200
1,MOEA/D-GP,0.8641562192557869,0.002280217706745932,0.024218815747086894,0.015964880310325197,182,18.09197344022433,0.8595646722011413,0.08430369459519013,200
1,SMS-EGO,0.855120778197516,0.004953458376137835,0.024778122517578896,0.01609638173618996,195,17.922460121733497,0.8422403548600029,0.07465485568347369,200
1,ParEGO,0.8305825488115347,0.015462718847222138,0.0311104141835143,0.021178993965803236,200,18.723059897711764,0.8428570514999629,0.10172748441009509,200
1,HF-NSGA-II,0.8298530543426899,0.0025280989646019754,0.030520416381596003,0.019526846369080423,197,20.176446127995398,0.8070045513073139,0.08892786199909436,200
2,MF-BCL-SAEA,0.9163130205382217,0.0024360554285113366,0.010393630299440113,0.008718374538647381,110,14.91522616771453,0.9678350370894342,0.02486409934387656,200
2,MF-EMTO,0.8806322679050665,0.009172413444766098,0.02000754120798676,0.013665632490297024,141,17.33440224922162,0.8941661618835348,0.05007013733090683,200
2,qNEHVI,0.8824649884995504,0.005620990822114069,0.020122438907296925,0.012883178247550564,144,18.65978531778382,0.9022935336499678,0.05461795506229814,200
2,LC-SAEA,0.8786719994776716,0.004986361337874452,0.02065556647395954,0.014447912571762778,177,16.18263473231903,0.895627761546082,0.044777436570554344,200
2,C-SAEA,0.8569092728138296,0.011989885751846275,0.023933713272353573,0.017218355850615916,187,17.536354067665865,0.8481283931509581,0.07280335098670357,200
