scenario,level,algorithm,seed,normalized_HV
objective_noise_pct,0,MF-BCL-SAEA,1,0.9193378987638822
objective_noise_pct,0,MF-BCL-SAEA,2,0.915239135631984
objective_noise_pct,0,MF-BCL-SAEA,3,0.919669805115265
objective_noise_pct,0,MF-BCL-SAEA,4,0.9059414772037752
objective_noise_pct,0,MF-BCL-SAEA,5,0.9198542195821864
objective_noise_pct,0,MF-BCL-SAEA,6,0.9167509938075573
objective_noise_pct,0,MF-BCL-SAEA,7,0.918535986197203
objective_noise_pct,0,MF-BCL-SAEA,8,0.9257550921398937
objective_noise_pct,0,MF-BCL-SAEA,9,0.9118028010672867
objective_noise_pct,0,MF-BCL-SAEA,10,0.9083174618981646
objective_noise_pct,0,MF-BCL-SAEA,11,0.909250657726521
objective_noise_pct,0,MF-BCL-SAEA,12,0.9251098041508004
objective_noise_pct,0,MF-BCL-SAEA,13,0.9065472974842675
objective_noise_pct,0,MF-BCL-SAEA,14,0.9224652008794906
objective_noise_pct,0,MF-BCL-SAEA,15,0.9084464765013789
objective_noise_pct,0,MF-BCL-SAEA,16,0.910767446296176
objective_noise_pct,0,MF-BCL-SAEA,17,0.9143467953836425
objective_noise_pct,0,MF-BCL-SAEA,18,0.9100020163549061
objective_noise_pct,0,MF-BCL-SAEA,19,0.909285924802683
objective_noise_pct,0,MF-BCL-SAEA,20,0.9219454617352953
objective_noise_pct,0,MF-EMTO,1,0.8983643792279589
objective_noise_pct,0,MF-EMTO,2,0.8891664306840725
objective_noise_pct,0,MF-EMTO,3,0.8854485528374613
objective_noise_pct,0,MF-EMTO,4,0.8837275297567095
objective_noise_pct,0,MF-EMTO,5,0.8782655637354675
objective_noise_pct,0,MF-EMTO,6,0.8844782698765945
objective_noise_pct,0,MF-EMTO,7,0.8917659420172063
objective_noise_pct,0,MF-EMTO,8,0.8840319944416712
objective_noise_pct,0,MF-EMTO,9,0.8695703407683835
objective_noise_pct,0,MF-EMTO,10,0.8829280918080237
objective_noise_pct,0,MF-EMTO,11,0.8755489780563188
objective_noise_pct,0,MF-EMTO,12,0.8724848409902862
objective_noise_pct,0,MF-EMTO,13,0.8864872506037365
objective_noise_pct,0,MF-EMTO,14,0.8919107935718861
objective_noise_pct,0,MF-EMTO,15,0.8821136333960848
objective_noise_pct,0,MF-EMTO,16,0.8853212866623446
objective_noise_pct,0,MF-EMTO,17,0.8881889489036208
objective_noise_pct,0,MF-EMTO,18,0.8868243350537548
objective_noise_pct,0,MF-EMTO,19,0.8824229496978816
objective_noise_pct,0,MF-EMTO,20,0.8825865441452602
objective_noise_pct,0,qNEHVI,1,0.8796126918312894
objective_noise_pct,0,qNEHVI,2,0.8793607000989335
objective_noise_pct,0,qNEHVI,3,0.8734168055957132
objective_noise_pct,0,qNEHVI,4,0.8934339001222934
objective_noise_pct,0,qNEHVI,5,0.8780478402145651
objective_noise_pct,0,qNEHVI,6,0.8631923187801648
objective_noise_pct,0,qNEHVI,7,0.8926288406658733
objective_noise_pct,0,qNEHVI,8,0.8776592164425451
objective_noise_pct,0,qNEHVI,9,0.886272164395492
objective_noise_pct,0,qNEHVI,10,0.8999129327844377
objective_noise_pct,0,qNEHVI,11,0.8776952727411219
objective_noise_pct,0,qNEHVI,12,0.8888192064381115
